state,year,seatbelt_avg,exercise_avg,smoke_avg,drink_avg,checkup_avg,healthcare_avg,weight_avg,height_avg
ME,2012,4.755773119,0.78599916,0.514128479,0.583395265,3.54743833,0.897247321,176.0467407,5.560574303
ME,2013,4.789480782,0.764729513,0.51488366,0.573783359,3.59201344,0.905337621,175.8850589,5.550882026
ME,2014,4.769230769,0.789842583,0.511963406,0.577526235,3.587766878,0.921742128,176.374613,5.553654015
ME,2015,4.808296514,0.753014249,0.513535782,0.575231757,3.607581608,0.938787385,176.9986064,5.548426431
ME,2016,4.755395683,0.792551522,0.517329094,0.595769683,3.594327731,0.936584345,177.3684705,5.557938083
ME,2017,4.792903446,0.756210479,0.499228735,0.603813559,3.572107594,0.926905299,177.8295406,5.561507085
MD,2006,4.800811509,0.758834766,0.456167665,0.54682234,3.593549169,0.919765634,173.1335559,5.561700056
MD,2007,2.990740741,0.798660362,0.34175217,0.559355693,3.459470305,0.89270217,239.5275808,7.082676648
MD,2008,4.840997662,0.744715984,0.454675783,0.559355693,3.55608778,0.925509642,174.3105344,5.541446741
MD,2010,4.862910798,0.736186411,0.440023135,0.51627907,3.688470973,0.92817552,176.0666436,5.544823014
MD,2011,4.870321444,0.741527732,0.448509199,0.565125112,3.684277938,0.926515551,175.8558796,5.550075447
MD,2012,4.866752467,0.761932626,0.442960442,0.553747323,3.687277655,0.930996989,176.3528184,5.55434238
MD,2013,4.878440566,0.733005521,0.430888161,0.530733362,3.681852253,0.936717205,176.7264957,5.547104427
MD,2014,4.887214733,0.775423005,0.420364397,0.529145996,3.70857489,0.964190868,177.3808914,5.541901469
MD,2015,4.880956993,0.739927439,0.433179306,0.541149635,3.714362368,0.964200266,177.6925589,5.547341631
MD,2016,4.863377249,0.755683522,0.427310873,0.562104207,3.677542604,0.95984853,179.8250554,5.561505202
MD,2017,4.8861116,0.739979087,0.425413446,0.561646175,3.65454991,0.96294194,179.6962496,5.557744638
MA,2006,4.543271768,0.7414862,0.500255537,0.571011757,3.677759671,0.930374904,168.6201952,5.516207043
MA,2007,2.485294118,0.787873583,0.308793103,0.579422383,3.602321955,0.942350714,240.3349364,6.758201649
MA,2008,4.603806228,0.736147894,0.489719236,0.579422383,3.736762164,0.957722309,168.5420148,5.502478331
MA,2010,4.643088858,0.750183394,0.487586161,0.59647075,3.766865812,0.961328177,170.3407911,5.516180583
MA,2011,4.63612147,0.748002076,0.496442765,0.609773068,3.757480315,0.954343257,170.313992,5.517701127
MA,2012,4.625401845,0.776505599,0.480981786,0.607782871,3.734386107,0.958588259,171.05733,5.530130143
MA,2013,4.641270098,0.745645978,0.472153326,0.609040744,3.725475895,0.959152579,170.79757,5.522667004
MA,2014,4.686932782,0.788276101,0.470154113,0.606436006,3.755479067,0.970440951,171.5551629,5.525854701
MA,2015,4.696433508,0.746679317,0.446347607,0.613828425,3.710640946,0.962503074,172.8056779,5.551802904
MA,2016,4.652756018,0.79694206,0.445321152,0.635612216,3.716560076,0.964319249,174.804092,5.573749666
MA,2017,4.717517007,0.773164557,0.434469201,0.638315579,3.704574951,0.967155047,173.5008827,5.564449259
MI,2006,4.844411437,0.751888009,0.498616491,0.543924542,3.534686971,0.912626728,175.724379,5.545277522
